NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
1	2	4	YES	0.0000383
1	2	0	NO	0.0378549
1	2	5	YES	0.0000296
1	2	0	NO	0.0380485
1	2	0	NO	0.0373328
1	2	5	YES	0.0000598
1	2	0	NO	0.0316635
1	2	0	NO	0.0371785
1	2	0	NO	0.0197013
1	2	0	NO	0.0492017
1	2	0	NO	0.0480699
1	2	0	NO	0.0258507
1	2	5	YES	0.0000368
1	2	0	NO	0.0195942
1	2	0	NO	0.0259318
1	2	4	YES	0.0000273
1	2	0	NO	0.0348471
1	2	4	YES	0.0000417
1	2	4	YES	0.0000378
1	2	0	NO	0.0669775
1	2	0	NO	0.0424705
1	2	4	YES	0.0000244
1	2	0	NO	0.0332214
1	2	0	NO	0.0306484
1	2	0	NO	0.0294162
1	2	0	NO	0.0337246
1	2	0	NO	0.0280548
1	2	0	NO	0.0383918
1	2	0	NO	0.0203928
1	2	0	NO	0.0244302
1	2	0	NO	0.0256829
1	2	0	NO	0.0338406
1	2	4	YES	0.0000167
1	2	0	NO	0.0269918
1	2	0	NO	0.0217038
1	2	0	NO	0.0190794
NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
2	2	4	YES	0.0009776
2	2	4	YES	0.0000362
2	2	4	YES	0.0002567
2	2	4	YES	0.0000442
2	2	4	YES	0.0005037
2	2	4	YES	0.0000433
2	2	4	YES	0.0000307
2	2	4	YES	0.0000290
2	2	4	YES	0.0000433
2	2	4	YES	0.0000872
2	2	4	YES	0.0000816
2	2	5	YES	0.0000584
2	2	5	YES	0.0000295
2	2	4	YES	0.0000429
2	2	4	YES	0.0000114
2	2	4	YES	0.0000239
2	2	4	YES	0.0000353
2	2	4	YES	0.0000279
2	2	4	YES	0.0000344
2	2	4	YES	0.0000567
2	2	4	YES	0.0000541
2	2	4	YES	0.0000207
2	2	4	YES	0.0000319
2	2	4	YES	0.0000632
2	2	4	YES	0.0000173
2	2	4	YES	0.0000411
2	2	4	YES	0.0000283
2	2	0	NO	0.0196361
2	2	0	NO	0.0223978
2	2	4	YES	0.0000363
2	2	5	YES	0.0000429
2	2	4	YES	0.0000111
2	2	0	NO	0.0225438
2	2	4	YES	0.0000209
2	2	0	NO	0.0255380
2	2	0	NO	0.0333688
2	2	4	YES	0.0000536
2	2	0	NO	0.0348950
2	2	0	NO	0.0350534
2	2	5	YES	0.0000481
2	2	4	YES	0.0000179
2	2	5	YES	0.0000527
2	2	0	NO	0.0365727
2	2	0	NO	0.0368723
2	2	0	NO	0.0365543
2	2	0	NO	0.0209443
2	2	0	NO	0.0258138
2	2	0	NO	0.0370104
2	2	4	YES	0.0000311
2	2	0	NO	0.0337610
2	2	5	YES	0.0000611
2	2	4	YES	0.0000469
2	2	4	YES	0.0000166
2	2	4	YES	0.0000341
2	2	0	NO	0.0222232
2	2	0	NO	0.0336148
2	2	4	YES	0.0000463
2	2	0	NO	0.0271975
2	2	0	NO	0.0218203
2	2	5	YES	0.0000445
2	2	5	YES	0.0000347
2	2	0	NO	0.0228137
2	2	4	YES	0.0000243
2	2	0	NO	0.0372463
2	2	4	YES	0.0000257
2	2	0	NO	0.0363531
2	2	4	YES	0.0000119
2	2	5	YES	0.0000317
2	2	4	YES	0.0000173
2	2	0	NO	0.0261778
2	2	0	NO	0.0198903
2	2	4	YES	0.0000231
2	2	4	YES	0.0000133
2	2	0	NO	0.0208537
2	2	4	YES	0.0000117
2	2	4	YES	0.0000109
2	2	0	NO	0.0276436
2	2	0	NO	0.0208060
2	2	0	NO	0.0217845
2	2	0	NO	0.0205573
NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
3	2	4	YES	0.0000577
3	2	5	YES	0.0004928
